PositionX,PositionY,Distant,Lag,TemperatureMEAN1,TemperatureMEAN2,TemperatureMEAN3,TemperatureMEAN4,TemperatureMEAN5,TemperatureMEAN6,TemperatureMEAN7,TemperatureMEAN8,TemperatureMEAN9,TemperatureMEAN10,TemperatureMEAN11,TemperatureMEAN12,TemperatureMEAN13,TemperatureMEAN14,TemperatureMEAN15,TemperatureMEAN16,TemperatureMEAN17,TemperatureMEAN18,TemperatureMEAN19,TemperatureMEAN20,T_MinMIN1,T_MinMIN2,T_MinMIN3,T_MinMIN4,T_MinMIN5,T_MinMIN6,T_MinMIN7,T_MinMIN8,T_MinMIN9,T_MinMIN10,T_MinMIN11,T_MinMIN12,T_MinMIN13,T_MinMIN14,T_MinMIN15,T_MinMIN16,T_MinMIN17,T_MinMIN18,T_MinMIN19,T_MinMIN20,PrecpSUM1,PrecpSUM2,PrecpSUM3,PrecpSUM4,PrecpSUM5,PrecpSUM6,PrecpSUM7,PrecpSUM8,PrecpSUM9,PrecpSUM10,PrecpSUM11,PrecpSUM12,PrecpSUM13,PrecpSUM14,PrecpSUM15,PrecpSUM16,PrecpSUM17,PrecpSUM18,PrecpSUM19,PrecpSUM20,Ndvi,PopDen,
10,10,66
1.781900e+00,1.789489e+00,-3.804362e-01,-3.802341e-01,-6.787424e-02,-1.131817e-01,-1.949873e-01,-2.413498e-01,-2.530249e-01,-2.668608e-01,-2.820031e-01,-2.783724e-01,-2.987660e-01,-2.558521e-01,-2.299034e-01,-1.519215e-01,-5.491424e-02,3.399586e-02,1.453042e-01,1.830154e-01,2.453160e-01,3.197993e-01,3.687014e-01,3.897745e-01,-2.066671e-01,-1.747988e-01,-2.084048e-01,-1.587730e-01,-3.496527e-01,-3.959963e-01,-4.298718e-01,-4.664407e-01,-5.525860e-01,-3.870322e-01,-5.111596e-02,-1.771763e-01,-1.768245e-01,-1.865302e-01,-1.567984e-01,-3.656869e-02,1.569631e-01,5.976647e-01,5.958131e-01,5.764147e-01,-3.835078e-01,-3.788506e-01,-6.273933e-02,1.591479e-01,5.358813e-01,6.507524e-01,6.888416e-01,7.814553e-01,9.741970e-01,8.781048e-01,8.399334e-01,2.051349e-01,7.736481e-02,4.309846e-02,-1.100379e-02,4.776715e-02,3.588261e-02,-8.841275e-02,-5.690852e-02,1.564525e-02,8.503337e-01,5.753432e-01,
1.408941e+00,1.430669e+00,-2.949965e-01,-3.373370e-01,-3.609919e-03,-4.873699e-02,-1.239760e-01,-1.665507e-01,-1.772706e-01,-1.998328e-01,-2.314894e-01,-2.405193e-01,-2.901720e-01,-2.806280e-01,-2.705021e-01,-2.017437e-01,-1.093089e-01,-2.306723e-02,8.432841e-02,1.234365e-01,1.917266e-01,2.603666e-01,3.050157e-01,3.275921e-01,-1.022909e-01,-1.057997e-01,-1.447998e-01,-9.608566e-02,-2.933174e-01,-3.386995e-01,-3.731287e-01,-4.078058e-01,-4.930438e-01,-3.943610e-01,-9.101789e-02,-2.094406e-01,-2.080704e-01,-2.138616e-01,-1.870152e-01,-9.049712e-02,6.573961e-02,4.956489e-01,4.977434e-01,4.804177e-01,-4.130178e-01,-4.062437e-01,-1.276899e-01,6.448648e-02,3.524004e-01,4.488083e-01,4.769804e-01,5.511903e-01,7.266076e-01,6.860733e-01,6.763730e-01,1.971301e-01,8.826437e-02,7.208495e-02,3.544117e-02,1.197030e-01,1.165862e-01,2.901139e-03,2.830890e-02,1.011434e-01,7.335741e-01,5.316657e-01,
1.211704e+00,1.241430e+00,-2.606670e-01,-3.145737e-01,2.488167e-02,-1.885232e-02,-8.828924e-02,-1.266092e-01,-1.366148e-01,-1.614820e-01,-1.977037e-01,-2.102498e-01,-2.666552e-01,-2.695331e-01,-2.670433e-01,-2.049881e-01,-1.176208e-01,-3.611070e-02,6.469489e-02,1.028639e-01,1.708365e-01,2.344851e-01,2.754713e-01,2.965508e-01,-5.517572e-02,-7.076731e-02,-1.094859e-01,-6.069433e-02,-2.510202e-01,-2.953705e-01,-3.285227e-01,-3.608881e-01,-4.403947e-01,-3.655615e-01,-9.355993e-02,-2.052233e-01,-2.035294e-01,-2.077449e-01,-1.825420e-01,-9.863475e-02,3.597817e-02,4.386689e-01,4.419012e-01,4.261818e-01,-4.042039e-01,-3.951392e-01,-1.432682e-01,2.467786e-02,2.663213e-01,3.523285e-01,3.769209e-01,4.416576e-01,6.000835e-01,5.789202e-01,5.851626e-01,1.895159e-01,9.140731e-02,8.309080e-02,5.495957e-02,1.432696e-01,1.413611e-01,3.793990e-02,5.679419e-02,1.266235e-01,6.619016e-01,4.845702e-01,
1.175794e+00,1.193833e+00,-2.460979e-01,-2.813300e-01,-2.989236e-03,-4.062268e-02,-1.033985e-01,-1.389301e-01,-1.478844e-01,-1.667158e-01,-1.931496e-01,-2.007096e-01,-2.421710e-01,-2.342250e-01,-2.257689e-01,-1.683987e-01,-9.128198e-02,-1.931009e-02,7.031787e-02,1.029523e-01,1.599344e-01,2.172167e-01,2.544860e-01,2.733320e-01,-8.540505e-02,-8.828178e-02,-1.207806e-01,-8.020074e-02,-2.448071e-01,-2.826964e-01,-3.114453e-01,-3.403425e-01,-4.114509e-01,-3.291214e-01,-7.594910e-02,-1.747981e-01,-1.736524e-01,-1.784857e-01,-1.561102e-01,-7.554030e-02,5.485703e-02,4.136636e-01,4.154152e-01,4.009477e-01,-3.445952e-01,-3.389877e-01,-1.065824e-01,5.380717e-02,2.940802e-01,3.745231e-01,3.980179e-01,4.599443e-01,6.063172e-01,5.725314e-01,5.644146e-01,1.644467e-01,7.364064e-02,6.010595e-02,2.946322e-02,9.976721e-02,9.717872e-02,2.326450e-03,2.355720e-02,8.435170e-02,6.119787e-01,4.438373e-01,
9.593392e-03,7.260765e-03,3.042334e-03,9.444602e-03,2.762373e-03,2.768045e-03,1.358878e-03,4.522788e-04,-7.257182e-04,-2.055468e-03,-3.551873e-03,-4.254484e-03,-4.419270e-03,-4.516654e-03,-2.900081e-03,-2.156146e-03,-5.783876e-04,1.085519e-03,2.144578e-03,3.476927e-03,4.160293e-03,3.608748e-03,3.190644e-03,2.412568e-03,-3.075445e-03,-9.314198e-04,-1.367780e-03,-5.492273e-03,-6.755901e-03,-6.572425e-03,-4.910859e-03,-3.220053e-03,-2.644398e-03,-1.660946e-03,2.978972e-03,5.409312e-03,4.740422e-03,4.341333e-03,2.769881e-03,3.664790e-03,5.135553e-03,8.569212e-03,1.035659e-02,8.675470e-03,-1.232399e-03,-1.323642e-03,-1.869640e-04,4.226645e-03,6.689699e-03,8.250590e-03,5.682417e-03,5.314301e-03,5.732143e-03,7.744181e-03,3.969774e-03,-7.213306e-05,-3.874445e-03,-3.501941e-03,-6.008291e-03,-9.403434e-03,-1.103276e-02,-1.060102e-02,-1.081609e-02,-5.824677e-03,-6.870306e-03,9.061822e-03,
1.652576e-02,4.549887e-03,-1.516847e-02,-3.513944e-02,2.865099e-02,2.342938e-02,1.793862e-02,1.381037e-02,1.040054e-02,7.550014e-03,-1.059685e-03,-1.036525e-02,-4.170473e-03,4.213753e-03,8.680027e-03,9.985922e-03,2.181269e-02,2.786723e-02,3.873497e-02,4.602382e-02,4.651158e-02,5.158469e-02,5.743312e-02,5.574732e-02,2.666547e-02,2.031133e-02,6.270441e-03,7.767182e-04,1.594787e-03,7.494536e-03,7.478604e-03,1.338427e-02,3.480782e-03,1.259052e-02,1.276407e-02,2.106875e-02,1.768809e-02,2.586097e-02,2.503247e-02,4.309818e-02,4.887331e-02,5.588347e-02,6.680488e-02,6.810225e-02,-1.869446e-02,-1.787407e-02,-1.418318e-02,-3.039944e-03,1.587044e-02,1.736806e-02,2.381569e-02,4.408802e-02,6.341119e-02,6.579899e-02,6.436824e-02,3.715166e-02,8.342147e-03,2.567858e-02,1.854609e-02,6.733811e-04,5.220323e-03,-8.566253e-03,-9.983464e-03,1.393795e-02,-4.865602e-02,4.610339e-02,
2.467857e-01,2.424596e-01,-1.541214e-01,-1.398291e-01,-8.433573e-02,-9.032054e-02,-9.354187e-02,-9.178955e-02,-8.000341e-02,-5.406737e-02,-1.945884e-02,9.666517e-03,4.656991e-02,8.130451e-02,8.485457e-02,9.385871e-02,1.036894e-01,1.061866e-01,1.184537e-01,1.197166e-01,1.201358e-01,1.372941e-01,1.389311e-01,1.331265e-01,-7.260542e-02,-5.812587e-02,-5.112210e-02,-4.794956e-02,-6.481442e-02,-6.789119e-02,-5.572216e-02,-2.199673e-02,-4.600464e-03,5.449571e-02,7.885289e-02,8.340091e-02,8.048609e-02,9.892188e-02,8.765401e-02,1.117128e-01,1.495884e-01,1.828649e-01,1.850218e-01,1.847338e-01,1.735315e-02,6.826090e-02,9.672866e-02,1.250051e-01,2.098611e-01,2.281401e-01,2.335641e-01,2.335848e-01,2.432088e-01,1.909425e-01,2.081509e-01,6.532379e-02,5.262734e-02,5.941049e-02,2.294621e-02,-7.497809e-03,-4.277435e-03,-5.657924e-02,-5.259018e-02,-3.713510e-02,1.398630e-02,1.437552e-01,
8.027442e-01,8.007895e-01,-3.748556e-01,-2.943268e-01,-1.679007e-01,-1.763084e-01,-1.845377e-01,-1.848757e-01,-1.741195e-01,-1.360474e-01,-7.150346e-02,-1.419355e-02,5.289321e-02,1.192151e-01,1.328881e-01,1.744764e-01,2.029427e-01,2.272436e-01,2.593670e-01,2.641890e-01,2.755770e-01,3.086132e-01,3.050296e-01,3.027678e-01,-2.264156e-01,-1.582808e-01,-1.233776e-01,-1.114001e-01,-1.606810e-01,-1.948476e-01,-1.796156e-01,-1.385518e-01,-1.152609e-01,5.518555e-02,1.484949e-01,1.243134e-01,1.395678e-01,1.507857e-01,1.512895e-01,2.031955e-01,2.807542e-01,3.928575e-01,3.799072e-01,3.774373e-01,5.263326e-02,1.150819e-01,1.889364e-01,2.465156e-01,4.593675e-01,5.086579e-01,5.366824e-01,5.466293e-01,5.622886e-01,4.358170e-01,4.479275e-01,8.526859e-02,9.164082e-02,1.849550e-02,-6.550999e-02,-9.992186e-02,-1.320414e-01,-2.119192e-01,-1.836785e-01,-2.182252e-01,2.484606e-01,4.079709e-01,
1.107849e+00,1.107774e+00,-4.596954e-01,-3.589055e-01,-1.736382e-01,-1.871071e-01,-2.056697e-01,-2.117515e-01,-2.068544e-01,-1.730568e-01,-1.138084e-01,-6.026459e-02,1.118072e-02,8.840498e-02,1.074749e-01,1.594759e-01,2.006132e-01,2.373045e-01,2.845465e-01,2.942826e-01,3.115027e-01,3.549652e-01,3.618762e-01,3.616736e-01,-2.727055e-01,-1.898303e-01,-1.545007e-01,-1.356669e-01,-2.031678e-01,-2.430118e-01,-2.344902e-01,-2.047847e-01,-1.991618e-01,2.417381e-02,1.502068e-01,1.032076e-01,1.213028e-01,1.286381e-01,1.387493e-01,2.137367e-01,3.193867e-01,4.807132e-01,4.651166e-01,4.616082e-01,2.105664e-02,7.167285e-02,1.844816e-01,2.610523e-01,5.364001e-01,6.010875e-01,6.489118e-01,6.918633e-01,7.361485e-01,5.845082e-01,5.899727e-01,1.239594e-01,1.103667e-01,1.926087e-02,-7.937408e-02,-1.143362e-01,-1.538851e-01,-2.373280e-01,-2.068947e-01,-2.342469e-01,3.947566e-01,4.864155e-01,
