PositionX,PositionY,Distant,Lag,TemperatureMEAN1,TemperatureMEAN2,TemperatureMEAN3,TemperatureMEAN4,TemperatureMEAN5,TemperatureMEAN6,TemperatureMEAN7,TemperatureMEAN8,TemperatureMEAN9,TemperatureMEAN10,TemperatureMEAN11,TemperatureMEAN12,TemperatureMEAN13,TemperatureMEAN14,TemperatureMEAN15,TemperatureMEAN16,TemperatureMEAN17,TemperatureMEAN18,TemperatureMEAN19,TemperatureMEAN20,T_MinMIN1,T_MinMIN2,T_MinMIN3,T_MinMIN4,T_MinMIN5,T_MinMIN6,T_MinMIN7,T_MinMIN8,T_MinMIN9,T_MinMIN10,T_MinMIN11,T_MinMIN12,T_MinMIN13,T_MinMIN14,T_MinMIN15,T_MinMIN16,T_MinMIN17,T_MinMIN18,T_MinMIN19,T_MinMIN20,PrecpSUM1,PrecpSUM2,PrecpSUM3,PrecpSUM4,PrecpSUM5,PrecpSUM6,PrecpSUM7,PrecpSUM8,PrecpSUM9,PrecpSUM10,PrecpSUM11,PrecpSUM12,PrecpSUM13,PrecpSUM14,PrecpSUM15,PrecpSUM16,PrecpSUM17,PrecpSUM18,PrecpSUM19,PrecpSUM20,Ndvi,PopDen,
10,10,66
1.816872e-02,-8.703547e-02,-2.974253e-02,-7.899190e-02,7.952242e-02,8.353633e-02,1.010102e-01,1.079444e-01,1.057590e-01,7.018377e-02,4.364802e-02,1.616811e-02,6.175281e-03,-2.895969e-03,-1.829073e-03,-7.273583e-03,4.888658e-02,9.069016e-02,8.924871e-02,1.152588e-01,1.611761e-01,1.821162e-01,1.717028e-01,1.385780e-01,5.266788e-02,4.412048e-02,3.868193e-02,1.267635e-01,1.259469e-01,9.095848e-02,6.054401e-02,1.918089e-01,2.441937e-01,1.717542e-01,1.830915e-01,1.085271e-01,1.795065e-01,1.948366e-01,1.920589e-01,2.280779e-01,2.097067e-01,1.044353e-01,8.562332e-02,1.445995e-02,-9.336953e-03,-7.252862e-02,-1.304255e-01,-1.830788e-01,-1.936756e-01,-1.009463e-01,-3.424855e-02,-1.524340e-02,1.355380e-02,6.765650e-02,1.087491e-01,1.752721e-01,6.634457e-02,-2.317429e-02,1.033053e-01,1.188600e-01,8.159697e-02,9.058752e-02,1.347704e-01,1.400160e-01,-9.206092e-02,9.500367e-02,
-1.417632e-02,-9.270016e-02,-5.858908e-03,-8.715605e-02,2.996645e-02,3.659599e-02,4.501296e-02,4.841631e-02,5.630949e-02,3.808535e-02,1.188873e-02,8.585400e-03,2.071182e-02,2.762558e-02,2.978428e-02,9.012581e-03,3.709960e-02,5.627896e-02,2.178604e-02,2.481229e-02,5.299712e-02,6.192418e-02,5.751079e-02,3.116934e-02,2.382920e-02,3.879917e-02,4.815293e-02,1.120093e-01,1.202447e-01,9.286242e-02,5.833917e-02,1.449107e-01,2.115012e-01,1.325512e-01,1.783633e-01,6.907367e-02,1.161153e-01,1.021673e-01,1.042102e-01,1.361218e-01,1.073264e-01,1.915222e-02,-3.548620e-02,-1.146786e-01,1.287534e-02,-6.989703e-02,-1.081225e-01,-1.276499e-01,-1.454328e-01,-7.443649e-02,-3.205219e-03,8.412543e-03,1.473529e-02,1.244461e-02,-1.894064e-03,7.336805e-02,5.336781e-03,-4.810405e-02,1.537260e-01,1.930100e-01,2.062122e-01,2.408401e-01,2.655059e-01,3.208229e-01,-4.904285e-02,2.269540e-02,
-5.407171e-02,-8.116237e-02,4.325688e-02,-1.419634e-01,-5.263483e-02,-4.918115e-02,-6.516789e-02,-7.608394e-02,-5.918149e-02,-5.407102e-02,-7.687897e-02,-4.159380e-02,4.551219e-03,4.308065e-02,4.855925e-02,7.580895e-03,-1.039871e-02,-3.033458e-02,-1.129991e-01,-1.479101e-01,-1.494035e-01,-1.659956e-01,-1.732765e-01,-1.880578e-01,-1.569030e-03,2.550287e-02,5.568535e-02,6.599473e-02,7.441041e-02,5.692723e-02,1.557772e-02,3.443136e-02,9.559671e-02,-5.564971e-03,1.118912e-01,-3.843801e-02,-2.598070e-02,-8.730095e-02,-7.669097e-02,-6.261982e-02,-1.073430e-01,-1.607115e-01,-2.731568e-01,-3.563624e-01,9.831333e-03,-8.528660e-02,-8.019216e-02,-2.973680e-02,-4.679358e-02,-7.338964e-03,6.881587e-02,6.611281e-02,4.650743e-02,-3.625275e-02,-1.364588e-01,-5.221637e-02,-5.527175e-02,-4.671661e-02,2.574450e-01,3.466981e-01,4.200652e-01,4.789455e-01,4.890484e-01,6.208735e-01,-4.157895e-02,-6.422882e-02,
-8.396156e-02,-7.469037e-02,1.017444e-01,-2.222105e-01,-1.303741e-01,-1.341823e-01,-1.774869e-01,-2.034038e-01,-1.781729e-01,-1.537956e-01,-1.651427e-01,-1.019152e-01,-2.852156e-02,4.678772e-02,6.013086e-02,1.208945e-03,-4.781067e-02,-9.306443e-02,-2.108811e-01,-2.732472e-01,-2.935170e-01,-3.354774e-01,-3.595068e-01,-3.712674e-01,-1.439872e-02,-5.517844e-03,3.832348e-02,1.652231e-02,2.292968e-02,1.096991e-02,-3.694461e-02,-5.020533e-02,-2.575784e-02,-1.603262e-01,4.892271e-02,-1.187111e-01,-1.178106e-01,-2.247780e-01,-2.100459e-01,-2.211352e-01,-2.764248e-01,-3.126657e-01,-4.697487e-01,-5.641234e-01,-3.366767e-02,-1.245757e-01,-6.292129e-02,6.120503e-02,5.261407e-02,8.165001e-02,1.628601e-01,1.512985e-01,1.284360e-01,-2.450231e-02,-2.169097e-01,-1.272726e-01,-9.240140e-02,-4.914816e-02,3.390391e-01,4.830987e-01,5.703819e-01,6.281355e-01,6.459219e-01,8.307393e-01,-1.146313e-01,-5.804587e-02,
-8.025165e-02,-5.612920e-02,1.032945e-01,-2.453591e-01,-1.401514e-01,-1.498410e-01,-2.035032e-01,-2.304207e-01,-2.051218e-01,-1.761515e-01,-1.776717e-01,-1.200778e-01,-4.880971e-02,3.977059e-02,5.762175e-02,3.425429e-03,-4.725203e-02,-8.778999e-02,-1.950143e-01,-2.572734e-01,-2.825380e-01,-3.319026e-01,-3.671543e-01,-3.780100e-01,-1.001969e-02,-2.486917e-02,1.079776e-02,-1.517237e-02,-8.116964e-03,-1.943917e-02,-6.189418e-02,-8.042740e-02,-9.336747e-02,-2.196944e-01,1.599249e-02,-1.218754e-01,-1.197329e-01,-2.395394e-01,-2.263915e-01,-2.471233e-01,-2.922716e-01,-3.156904e-01,-4.536341e-01,-5.340362e-01,-9.034670e-02,-1.508101e-01,-5.179404e-02,9.226879e-02,8.865130e-02,1.123731e-01,1.779191e-01,1.697532e-01,1.614189e-01,-4.987079e-03,-2.182198e-01,-1.475275e-01,-1.049474e-01,-7.334858e-02,2.707440e-01,4.176706e-01,4.736836e-01,5.061027e-01,5.373760e-01,7.053717e-01,-1.734068e-01,-7.009786e-03,
-2.252373e-02,-1.341148e-02,3.118741e-02,-8.195362e-02,-3.971933e-02,-4.378662e-02,-6.150982e-02,-6.825385e-02,-6.043523e-02,-5.092159e-02,-4.930461e-02,-3.426033e-02,-1.346402e-02,1.651751e-02,2.285681e-02,8.635234e-03,-6.218075e-03,-1.610400e-02,-4.541525e-02,-6.397794e-02,-7.308559e-02,-8.935380e-02,-1.024500e-01,-1.058689e-01,1.055206e-04,-8.578161e-03,-2.923923e-04,-7.736603e-03,-4.348094e-03,-9.081791e-03,-1.940175e-02,-2.594753e-02,-3.345947e-02,-6.768886e-02,8.874569e-03,-2.990920e-02,-2.875889e-02,-6.901666e-02,-6.589969e-02,-7.154350e-02,-8.209512e-02,-8.728304e-02,-1.224274e-01,-1.425260e-01,-4.066971e-02,-5.137111e-02,-1.298936e-02,3.264436e-02,3.102903e-02,3.726631e-02,5.217845e-02,5.072506e-02,5.148040e-02,-2.726551e-03,-6.875814e-02,-5.224805e-02,-3.849559e-02,-3.609929e-02,5.638876e-02,9.904876e-02,1.094184e-01,1.128774e-01,1.261980e-01,1.733756e-01,-6.029525e-02,3.648535e-03,
4.391306e-03,2.868756e-03,8.257527e-03,-5.805334e-03,-2.134618e-03,-2.552084e-03,-1.916520e-03,4.506739e-04,1.924146e-03,3.896623e-03,6.691392e-03,8.901128e-03,9.966150e-03,1.110948e-02,1.013521e-02,1.005676e-02,9.326735e-03,9.116733e-03,7.857533e-03,7.255691e-03,6.601014e-03,6.577495e-03,5.462806e-03,3.540786e-03,-9.636276e-04,-1.943363e-03,-2.063176e-03,-2.349503e-03,8.228883e-04,-5.401161e-04,3.491468e-03,8.493853e-04,9.198566e-03,8.489838e-03,1.277094e-02,6.115979e-03,6.575662e-03,5.333906e-03,3.485843e-03,3.597160e-03,4.107403e-03,2.618176e-03,7.443325e-04,6.683965e-04,4.981555e-03,1.099094e-02,1.315904e-02,1.199952e-02,8.687657e-03,7.581217e-03,3.207108e-03,-1.360642e-04,-3.281477e-03,-8.736401e-03,-6.059193e-03,-4.295494e-03,-3.990549e-03,-7.775283e-03,-4.512713e-03,-4.156776e-03,-5.263340e-03,-1.060987e-02,-1.284594e-02,-5.876834e-03,5.944912e-03,-1.523692e-02,
8.833888e-03,5.643038e-03,7.452380e-03,-4.618397e-03,1.001207e-03,3.169489e-04,1.742839e-03,4.906196e-03,6.051829e-03,7.256757e-03,9.492552e-03,1.124221e-02,1.136323e-02,1.114729e-02,9.214835e-03,9.966527e-03,1.018070e-02,1.072344e-02,1.044672e-02,1.041878e-02,9.896552e-03,1.077360e-02,9.712599e-03,7.088070e-03,4.294147e-04,-2.331069e-04,-1.375639e-03,-1.962213e-03,1.714944e-03,5.339233e-04,5.003423e-03,1.187298e-03,1.302451e-02,1.278432e-02,1.363127e-02,6.140611e-03,7.295433e-03,7.523516e-03,5.487876e-03,5.700459e-03,6.668304e-03,5.166509e-03,4.065966e-03,5.048779e-03,6.717590e-03,1.455346e-02,1.504426e-02,9.994043e-03,4.928269e-03,3.199168e-03,-1.736266e-03,-5.567254e-03,-1.026843e-02,-1.356794e-02,-4.891089e-03,-1.923446e-03,-2.978987e-03,-8.520398e-03,-8.221201e-03,-9.360419e-03,-1.063401e-02,-1.732181e-02,-2.015035e-02,-1.186985e-02,9.611305e-03,-2.168149e-02,
4.391305e-03,2.868756e-03,8.257529e-03,-5.805335e-03,-2.134618e-03,-2.552084e-03,-1.916521e-03,4.506723e-04,1.924145e-03,3.896621e-03,6.691391e-03,8.901127e-03,9.966149e-03,1.110948e-02,1.013521e-02,1.005676e-02,9.326734e-03,9.116731e-03,7.857530e-03,7.255688e-03,6.601010e-03,6.577490e-03,5.462800e-03,3.540781e-03,-9.636271e-04,-1.943362e-03,-2.063175e-03,-2.349503e-03,8.228877e-04,-5.401167e-04,3.491468e-03,8.493824e-04,9.198563e-03,8.489834e-03,1.277094e-02,6.115976e-03,6.575658e-03,5.333900e-03,3.485838e-03,3.597154e-03,4.107397e-03,2.618171e-03,7.443273e-04,6.683921e-04,4.981554e-03,1.099094e-02,1.315904e-02,1.199952e-02,8.687658e-03,7.581217e-03,3.207108e-03,-1.360646e-04,-3.281477e-03,-8.736403e-03,-6.059197e-03,-4.295498e-03,-3.990551e-03,-7.775284e-03,-4.512713e-03,-4.156775e-03,-5.263338e-03,-1.060986e-02,-1.284594e-02,-5.876831e-03,5.944913e-03,-1.523692e-02,
