OID,FID,GRP,LYR
1,18053,-1,-1,
2,18054,-1,-1,
3,18055,-1,-1,
4,18057,-1,-1,
5,18058,-1,-1,
6,18059,-1,-1,
7,18060,-1,-1,
8,18061,-1,-1,
9,18062,-1,-1,
10,18063,-1,-1,
11,18064,-1,-1,
12,18065,-1,-1,
13,18066,-1,-1,
14,18067,-1,-1,
15,18068,-1,-1,
16,18069,-1,-1,
17,18070,-1,-1,
18,18071,-1,-1,
19,18072,-1,-1,
20,18074,-1,-1,
21,18075,-1,-1,
22,18076,-1,-1,
23,18077,-1,-1,
24,18078,-1,-1,
25,18080,-1,-1,
26,18081,-1,-1,
27,18082,-1,-1,
28,18083,-1,-1,
29,18084,-1,-1,
30,18085,-1,-1,
31,18086,-1,-1,
32,18087,-1,-1,
33,18088,-1,-1,
34,18089,-1,-1,
35,18090,-1,-1,
36,18092,-1,-1,
37,18093,-1,-1,
38,18094,-1,-1,
39,18096,-1,-1,
40,18097,-1,-1,
41,18099,-1,-1,
42,18100,-1,-1,
43,18101,-1,-1,
44,18102,-1,-1,
45,18103,-1,-1,
46,18104,-1,-1,
47,18105,-1,-1,
48,18107,-1,-1,
49,18108,-1,-1,
50,18109,-1,-1,
51,18110,-1,-1,
52,18111,-1,-1,
53,18112,-1,-1,
54,18113,-1,-1,
55,18114,-1,-1,
56,18115,-1,-1,
57,18116,-1,-1,
58,18117,-1,-1,
59,18118,-1,-1,
60,18119,-1,-1,
61,18120,-1,-1,
62,18121,0,0,
63,18122,-1,-1,
64,18124,-1,-1,
65,18125,-1,-1,
66,18126,-1,-1,
67,18127,-1,-1,
68,18129,1,0,
69,18130,2,0,
70,18131,1,1,
71,18132,1,1,
72,18133,3,0,
73,18134,1,1,
74,18135,-1,-1,
75,18136,1,1,
76,18137,0,1,
77,18138,-1,-1,
78,18139,1,1,
79,18140,1,1,
80,18141,-1,-1,
81,18142,0,1,
82,18143,-1,-1,
83,18144,4,0,
84,18145,-1,-1,
85,18146,-1,-1,
86,18147,-1,-1,
87,18148,-1,-1,
88,18149,-1,-1,
89,18150,1,2,
90,18151,-1,-1,
91,18152,-1,-1,
92,18153,1,2,
93,18154,5,0,
94,18155,1,2,
95,18156,6,0,
96,18157,-1,-1,
97,18158,3,1,
98,18159,7,0,
99,18160,1,3,
100,18161,1,3,
101,18162,1,3,
102,18163,1,3,
103,18164,3,1,
104,18165,-1,-1,
105,18166,8,0,
106,18167,9,0,
107,18168,3,1,
108,18169,-1,-1,
109,18170,10,0,
110,18171,3,1,
111,18172,3,1,
112,18173,1,3,
113,18174,1,3,
114,18175,1,3,
115,18176,11,0,
116,18177,1,3,
117,18178,1,3,
118,18179,1,3,
119,18180,3,1,
120,18181,-1,-1,
121,18182,1,3,
122,18183,1,3,
123,18184,1,3,
124,18185,-1,-1,
125,18186,1,3,
126,18187,-1,-1,
127,18188,3,2,
128,18189,-1,-1,
129,18190,-1,-1,
130,18191,1,4,
131,18192,-1,-1,
132,18193,-1,-1,
133,18194,3,2,
134,18195,6,1,
135,18196,-1,-1,
136,18197,-1,-1,
137,18198,12,0,
138,18199,1,4,
139,18200,-1,-1,
140,18201,1,4,
141,18202,9,1,
142,18203,1,4,
143,18204,1,4,
144,18205,3,2,
145,18206,6,1,
146,18207,6,1,
147,18208,3,3,
148,18209,9,1,
149,18210,-1,-1,
150,18211,-1,-1,
151,18212,13,0,
152,18213,-1,-1,
153,18214,9,1,
154,18215,9,1,
155,18216,3,3,
156,18217,-1,-1,
157,18218,1,5,
158,18219,3,3,
159,18220,3,3,
160,18221,-1,-1,
161,18222,1,5,
162,18223,3,3,
163,18224,9,2,
164,18225,6,2,
165,18226,14,0,
166,18227,1,5,
167,18228,4,1,
168,18229,9,1,
169,18230,4,1,
170,18231,15,0,
171,18232,16,0,
172,18233,-1,-1,
173,18234,6,2,
174,18235,3,3,
175,18236,17,0,
176,18237,6,2,
177,18238,3,3,
178,18239,18,0,
179,18240,6,2,
180,18241,1,5,
181,18242,19,0,
182,18243,3,4,
183,18244,5,1,
184,18245,6,2,
185,18246,-1,-1,
186,18247,20,0,
187,18248,6,2,
188,18249,3,4,
189,18250,21,0,
190,18251,1,5,
191,18252,22,0,
192,18253,6,2,
193,18254,1,6,
194,18255,6,2,
195,18256,6,2,
196,18257,23,0,
197,18258,1,6,
198,18259,3,4,
199,18260,-1,-1,
200,18261,9,2,
201,18262,9,2,
202,18263,6,3,
203,18264,6,3,
204,18265,6,3,
205,18266,9,3,
206,18267,6,3,
207,18268,-1,-1,
208,18269,24,0,
209,18270,3,4,
210,18271,1,6,
211,18272,9,3,
212,18273,5,1,
213,18274,25,0,
214,18275,26,0,
215,18276,3,4,
216,18277,9,3,
217,18278,6,3,
218,18279,9,3,
219,18280,6,3,
220,18281,-1,-1,
221,18282,7,1,
222,18283,9,3,
223,18284,17,1,
224,18285,11,1,
225,18286,9,3,
226,18287,1,6,
227,18288,17,1,
228,18289,7,1,
229,18290,17,1,
230,18291,17,1,
231,18292,1,6,
232,18293,9,1,
233,18294,-1,-1,
234,18295,9,1,
235,18296,7,1,
236,18297,3,5,
237,18298,1,6,
238,18299,14,1,
239,18300,6,3,
240,18301,-1,-1,
241,18302,3,5,
242,18303,9,3,
243,18304,13,1,
244,18305,3,5,
245,18306,3,5,
246,18307,17,1,
247,18308,27,0,
248,18309,9,3,
249,18310,-1,-1,
250,18311,16,1,
251,18312,9,3,
252,18313,1,6,
253,18314,28,0,
254,18315,-1,-1,
255,18316,9,3,
256,18318,9,3,
257,18319,-1,-1,
258,18320,9,3,
259,18321,29,0,
260,18322,30,0,
261,18323,31,0,
262,18324,32,0,
263,18325,1,7,
264,18326,6,4,
265,18327,-1,-1,
266,18328,16,1,
267,18329,9,4,
268,18330,16,1,
269,18331,9,4,
270,18332,33,0,
271,18333,9,4,
272,18334,1,6,
273,18335,1,6,
274,18336,6,4,
275,18337,7,2,
276,18338,9,2,
277,18339,5,2,
278,18340,1,7,
279,18341,6,4,
280,18342,3,5,
281,18343,1,6,
282,18344,13,1,
283,18346,7,2,
284,18347,3,6,
285,18349,1,6,
286,18350,24,1,
287,18351,34,0,
288,18352,1,7,
289,18353,1,7,
290,18354,1,6,
291,18355,-1,-1,
292,18356,7,2,
293,18357,35,0,
294,18358,5,2,
295,18359,3,6,
296,18360,14,2,
297,18361,1,7,
298,18362,1,7,
299,18363,7,2,
300,18364,1,7,
301,18365,36,0,
302,18366,3,6,
303,18367,24,1,
304,18368,1,7,
305,18369,17,2,
306,18370,24,1,
307,18371,7,2,
308,18372,1,7,
309,18373,7,2,
310,18374,14,2,
311,18375,5,2,
312,18376,1,6,
313,18377,7,2,
314,18378,3,6,
315,18379,37,0,
316,18380,14,2,
317,18381,7,2,
318,18382,24,1,
319,18383,7,2,
320,18384,1,7,
321,18385,6,5,
322,18386,5,2,
323,18387,1,7,
324,18388,27,1,
325,18389,5,2,
326,18390,24,1,
327,18391,5,2,
328,18392,7,2,
329,18393,14,2,
330,18394,-1,-1,
331,18395,1,7,
332,18396,38,0,
333,18397,14,2,
334,18398,1,8,
335,18399,31,1,
336,18400,24,1,
337,18401,39,0,
338,18402,6,5,
339,18403,5,2,
340,18404,5,3,
341,18406,16,2,
342,18407,16,2,
343,18408,40,0,
344,18409,14,2,
345,18410,14,2,
346,18411,41,0,
347,18412,5,3,
348,18413,1,8,
349,18414,-1,-1,
350,18415,14,2,
351,18416,1,8,
352,18417,26,1,
353,18418,5,3,
354,18419,1,8,
355,18420,42,0,
356,18421,1,8,
357,18422,1,8,
358,18423,14,2,
359,18424,-1,-1,
360,18425,14,2,
361,18426,7,3,
362,18427,-1,-1,
363,18428,1,8,
364,18429,6,5,
365,18430,-1,-1,
366,18431,1,8,
367,18432,22,1,
368,18433,5,1,
369,18434,-1,-1,
370,18435,1,8,
371,18436,1,8,
372,18437,43,0,
373,18439,44,0,
374,18440,5,3,
375,18441,1,8,
376,18442,6,5,
377,18443,26,1,
378,18444,22,1,
379,18445,5,3,
380,18446,16,2,
381,18447,45,0,
382,18448,15,1,
383,18449,1,7,
384,18450,1,8,
385,18451,46,0,
386,18452,26,1,
387,18453,47,0,
388,18454,-1,-1,
389,18455,26,1,
390,18456,14,3,
391,18457,48,0,
392,18458,7,2,
393,18459,-1,-1,
394,18460,1,8,
395,18461,14,3,
396,18462,16,2,
397,18463,26,1,
398,18464,6,5,
399,18465,49,0,
400,18466,50,0,
401,18467,51,0,
402,18468,1,7,
403,18469,3,7,
404,18470,24,2,
405,18471,1,8,
406,18472,52,0,
407,18473,11,2,
408,18474,1,8,
409,18475,15,1,
410,18476,53,0,
411,18477,35,1,
412,18478,32,1,
413,18479,-1,-1,
414,18480,7,3,
415,18481,1,8,
416,18482,1,8,
417,18483,13,2,
418,18484,15,1,
419,18485,7,3,
420,18486,1,8,
421,18487,3,7,
422,18488,3,7,
423,18489,3,7,
424,18490,7,3,
425,18491,7,3,
426,18492,5,3,
427,18493,5,3,
428,18494,31,2,
429,18495,17,3,
430,18496,7,3,
431,18497,-1,-1,
432,18498,26,1,
433,18499,7,3,
434,18500,36,1,
435,18501,13,2,
436,18502,1,9,
437,18503,34,1,
438,18504,16,2,
439,18505,7,3,
440,18506,6,6,
441,18507,32,1,
442,18508,7,3,
443,18509,7,3,
444,18510,38,1,
445,18511,3,7,
446,18512,3,7,
447,18513,38,1,
448,18514,16,2,
449,18515,-1,-1,
