 Percentage, ConnectedPair, Lag_lb, Lag_ub, Distance, Count, Entropy, R2PI 
1.500000e-01,1.460600e+04,7.000000e+00,1.345000e+01,1.500000e+02,3.436000e+03,3.551421e+00,7.536350e-03,
2.000000e-01,2.959500e+04,7.000000e+00,1.560000e+01,2.000000e+02,4.135000e+03,2.404070e+00,3.826196e-03,
2.500000e-01,4.780800e+04,7.000000e+00,1.775000e+01,2.500000e+02,4.537000e+03,1.688186e+00,2.149465e-03,
3.000000e-01,7.355000e+04,7.000000e+00,1.990000e+01,3.000000e+02,4.837000e+03,1.249871e+00,1.326154e-03,
3.500000e-01,1.049390e+05,7.000000e+00,2.205000e+01,3.500000e+02,5.033000e+03,9.554817e-01,8.689694e-04,
4.000000e-01,1.390640e+05,7.000000e+00,2.420000e+01,4.000000e+02,5.162000e+03,7.502907e-01,5.970624e-04,
4.500000e-01,1.761860e+05,7.000000e+00,2.635000e+01,4.500000e+02,5.273000e+03,6.055699e-01,4.283531e-04,
5.000000e-01,2.182150e+05,7.000000e+00,2.850000e+01,5.000000e+02,5.360000e+03,4.986047e-01,3.174216e-04,
5.500000e-01,2.613820e+05,7.000000e+00,3.065000e+01,5.500000e+02,5.439000e+03,4.181434e-01,2.419985e-04,
6.000000e-01,3.085460e+05,7.000000e+00,3.280000e+01,6.000000e+02,5.506000e+03,3.556848e-01,1.886966e-04,
6.500000e-01,3.572910e+05,7.000000e+00,3.495000e+01,6.500000e+02,5.569000e+03,3.065364e-01,1.501132e-04,
7.000000e-01,4.141460e+05,7.000000e+00,3.710000e+01,7.000000e+02,5.634000e+03,2.673944e-01,1.215918e-04,
7.500000e-01,4.691850e+05,7.000000e+00,3.925000e+01,7.500000e+02,5.680000e+03,2.348320e-01,9.966581e-05,
8.000000e-01,5.282770e+05,7.000000e+00,4.140000e+01,8.000000e+02,5.713000e+03,2.075945e-01,8.259922e-05,
8.500000e-01,5.899430e+05,7.000000e+00,4.355000e+01,8.500000e+02,5.736000e+03,1.846302e-01,6.914074e-05,
9.000000e-01,6.495990e+05,7.000000e+00,4.570000e+01,9.000000e+02,5.763000e+03,1.654608e-01,5.851979e-05,
9.500000e-01,7.111410e+05,7.000000e+00,4.785000e+01,9.500000e+02,5.792000e+03,1.492495e-01,5.000799e-05,
1.000000e+00,7.755400e+05,7.000000e+00,5.000000e+01,1.000000e+03,5.821000e+03,1.353721e-01,4.309028e-05,
