 Percentage, ConnectedPair, Lag_ubMlb, Distance, Count, Entropy, R2PI 
1.500000e-01,2.020600e+04,8.690898e-01,1.284152e+02,1.204000e+03,1.078811e+01,1.150330e-03,
2.000000e-01,2.467100e+04,1.126290e+00,1.574003e+02,1.452000e+03,8.190510e+00,1.010376e-03,
2.500000e-01,2.720500e+04,1.736023e+00,2.049407e+02,2.241000e+03,6.298803e+00,1.483686e-03,
3.000000e-01,3.157900e+04,1.966425e+00,2.408440e+02,2.793000e+03,5.897360e+00,1.646691e-03,
3.500000e-01,4.502800e+04,2.694594e+00,2.758140e+02,3.269000e+03,4.398507e+00,1.267276e-03,
4.000000e-01,5.133700e+04,2.939165e+00,3.056969e+02,3.606000e+03,4.013384e+00,1.261692e-03,
4.500000e-01,5.993100e+04,3.223625e+00,3.511643e+02,3.992000e+03,3.526432e+00,1.195777e-03,
5.000000e-01,6.873100e+04,3.854921e+00,3.836886e+02,4.290000e+03,2.900434e+00,1.136483e-03,
5.500000e-01,7.506100e+04,4.067765e+00,4.060742e+02,4.422000e+03,2.677056e+00,1.076360e-03,
6.000000e-01,9.251100e+04,4.847066e+00,4.420330e+02,4.684000e+03,2.186167e+00,9.128032e-04,
6.500000e-01,1.096510e+05,5.136301e+00,4.866425e+02,4.826000e+03,1.930753e+00,7.873965e-04,
7.000000e-01,1.378050e+05,6.097028e+00,5.409364e+02,5.070000e+03,1.537247e+00,6.480888e-04,
7.500000e-01,1.640560e+05,6.937317e+00,5.822855e+02,5.183000e+03,1.283080e+00,5.461814e-04,
8.000000e-01,2.174620e+05,8.157246e+00,6.675373e+02,5.333000e+03,9.793827e-01,4.035759e-04,
8.500000e-01,2.852990e+05,1.149068e+01,7.173803e+02,5.437000e+03,6.595749e-01,2.492731e-04,
9.000000e-01,4.015760e+05,1.669783e+01,7.881965e+02,5.556000e+03,4.221509e-01,1.530834e-04,
9.500000e-01,5.200970e+05,2.100924e+01,8.676821e+02,5.645000e+03,3.096656e-01,1.091129e-04,
1.000000e+00,7.808610e+05,4.285846e+01,1.002275e+03,5.801000e+03,1.350453e-01,4.263592e-05,
